county,precinct,office,district,candidate,votes,party
Clark,Clark-4636 - LAS,"District Court Judge, Dist. 8, Dept. 15",,"Gale, Bruce L.",0,
Clark,Clark-4636 - LAS,"District Court Judge, Dist. 8, Dept. 15",,"Hardy, Jr., Joe",0,
Clark,Clark-4636 - LAS,"District Court Judge, Dist. 8, Dept. 20",,"Johnson, Eric",0,
Clark,Clark-4636 - LAS,"District Court Judge, Dist. 8, Dept. 20",,"Levy, Anat Annette""""",0,
Clark,Clark-4636 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Bachman, Shana",0,
Clark,Clark-4636 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Baucum, Suzan",0,
Clark,Clark-4636 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Letizia, Harmony",0,
Clark,Clark-4636 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Marshall, Janiece",0,
Clark,Clark-4636 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Kern, Rebecca",0,
Clark,Clark-4636 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Yeager, Bita",0,
Clark,Clark-4636 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Bennett, Karen",0,
Clark,Clark-4636 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Ginn, Vincent Vinny""""",0,
Clark,Clark-4636 - LAS,President,,"CASTLE, DARRELL",0,IAP
Clark,Clark-4636 - LAS,President,,"CLINTON, HILLARY",0,DEM
Clark,Clark-4636 - LAS,President,,"DE LA FUENTE, ROQUE ROCKY""""",0,NPP
Clark,Clark-4636 - LAS,President,,"JOHNSON, GARY",0,LPN
Clark,Clark-4636 - LAS,President,,None Of These Candidates,0,
Clark,Clark-4636 - LAS,President,,"TRUMP, DONALD J.",0,REP
Clark,Clark-4636 - LAS,"State Assembly, District 10",,"Brooks, Chris",0,DEM
Clark,Clark-4636 - LAS,"State Assembly, District 10",,"Shelton, Shelly M.",0,REP
Clark,Clark-4636 - LAS,"State Board of Education, Dist. 1",,"Blakely, Robert",0,
Clark,Clark-4636 - LAS,"State Board of Education, Dist. 1",,"Hughes, Tim",0,
Clark,Clark-4636 - LAS,STATE QUESTION NO.1,,No,0,
Clark,Clark-4636 - LAS,STATE QUESTION NO.1,,Yes,0,
Clark,Clark-4636 - LAS,STATE QUESTION NO.2,,No,0,
Clark,Clark-4636 - LAS,STATE QUESTION NO.2,,Yes,0,
Clark,Clark-4636 - LAS,STATE QUESTION NO.3,,No,0,
Clark,Clark-4636 - LAS,STATE QUESTION NO.3,,Yes,0,
Clark,Clark-4636 - LAS,STATE QUESTION NO.4,,No,0,
Clark,Clark-4636 - LAS,STATE QUESTION NO.4,,Yes,0,
Clark,Clark-4636 - LAS,"State Senate, District 3",,"Friedrich, Jonathan",0,LPN
Clark,Clark-4636 - LAS,"State Senate, District 3",,"Palmerston, Dennis",0,REP
Clark,Clark-4636 - LAS,"State Senate, District 3",,"Segerblom, Tick""""",0,DEM
Clark,Clark-4636 - LAS,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",0,
Clark,Clark-4636 - LAS,"Supreme Court Justice, Seat A",,None Of These Candidates,0,
Clark,Clark-4636 - LAS,"Supreme Court Justice, Seat E",,None Of These Candidates,0,
Clark,Clark-4636 - LAS,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",0,
Clark,Clark-4636 - LAS,U.S. House,1,"Bakari, Kamau A.",0,IAP
Clark,Clark-4636 - LAS,U.S. House,1,"D'Silva, Reuben",0,
Clark,Clark-4636 - LAS,U.S. House,1,"Perry, Mary",0,REP
Clark,Clark-4636 - LAS,U.S. House,1,"Titus, Dina",0,DEM
Clark,Clark-4636 - LAS,U.S. Senate,,"CORTEZ MASTO, CATHERINE",0,DEM
Clark,Clark-4636 - LAS,U.S. Senate,,"GUMINA, TONY",0,
Clark,Clark-4636 - LAS,U.S. Senate,,"HECK, JOE",0,REP
Clark,Clark-4636 - LAS,U.S. Senate,,"JONES, TOM",0,IAP
Clark,Clark-4636 - LAS,U.S. Senate,,None Of These Candidates,0,
Clark,Clark-4636 - LAS,U.S. Senate,,"SAWYER, THOMAS TOM""""",0,
Clark,Clark-4636 - LAS,U.S. Senate,,"WILLIAMS, JARROD M.",0,
Clark,Clark-4637 - LAS,CLARK COUNTY QUESTION NO. 5,,No,0,
Clark,Clark-4637 - LAS,CLARK COUNTY QUESTION NO. 5,,Yes,0,
Clark,Clark-4637 - LAS,County Commissioner Dist. D,,"Osnaya, Anthony",0,
Clark,Clark-4637 - LAS,County Commissioner Dist. D,,"Weekly, Jr., Lawrence",0,
Clark,Clark-4637 - LAS,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,0,
Clark,Clark-4637 - LAS,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",0,
Clark,Clark-4637 - LAS,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",0,
Clark,Clark-4637 - LAS,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,0,
Clark,Clark-4637 - LAS,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,0,
Clark,Clark-4637 - LAS,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",0,
Clark,Clark-4637 - LAS,"District Court Judge, Dist. 8, Dept. 15",,"Gale, Bruce L.",0,
Clark,Clark-4637 - LAS,"District Court Judge, Dist. 8, Dept. 15",,"Hardy, Jr., Joe",0,
Clark,Clark-4637 - LAS,"District Court Judge, Dist. 8, Dept. 20",,"Johnson, Eric",0,
Clark,Clark-4637 - LAS,"District Court Judge, Dist. 8, Dept. 20",,"Levy, Anat Annette""""",0,
Clark,Clark-4637 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Bachman, Shana",0,
Clark,Clark-4637 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Baucum, Suzan",0,
Clark,Clark-4637 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Letizia, Harmony",0,
Clark,Clark-4637 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Marshall, Janiece",0,
Clark,Clark-4637 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Kern, Rebecca",0,
Clark,Clark-4637 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Yeager, Bita",0,
Clark,Clark-4637 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Bennett, Karen",0,
Clark,Clark-4637 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Ginn, Vincent Vinny""""",0,
Clark,Clark-4637 - LAS,President,,"CASTLE, DARRELL",0,IAP
Clark,Clark-4637 - LAS,President,,"CLINTON, HILLARY",0,DEM
Clark,Clark-4637 - LAS,President,,"DE LA FUENTE, ROQUE ROCKY""""",0,NPP
Clark,Clark-4637 - LAS,President,,"JOHNSON, GARY",0,LPN
Clark,Clark-4637 - LAS,President,,None Of These Candidates,0,
Clark,Clark-4637 - LAS,President,,"TRUMP, DONALD J.",0,REP
Clark,Clark-4637 - LAS,"State Assembly, District 10",,"Brooks, Chris",0,DEM
Clark,Clark-4637 - LAS,"State Assembly, District 10",,"Shelton, Shelly M.",0,REP
Clark,Clark-4637 - LAS,"State Board of Education, Dist. 1",,"Blakely, Robert",0,
Clark,Clark-4637 - LAS,"State Board of Education, Dist. 1",,"Hughes, Tim",0,
Clark,Clark-4637 - LAS,STATE QUESTION NO.1,,No,0,
Clark,Clark-4637 - LAS,STATE QUESTION NO.1,,Yes,0,
Clark,Clark-4637 - LAS,STATE QUESTION NO.2,,No,0,
Clark,Clark-4637 - LAS,STATE QUESTION NO.2,,Yes,0,
Clark,Clark-4637 - LAS,STATE QUESTION NO.3,,No,0,
Clark,Clark-4637 - LAS,STATE QUESTION NO.3,,Yes,0,
Clark,Clark-4637 - LAS,STATE QUESTION NO.4,,No,0,
Clark,Clark-4637 - LAS,STATE QUESTION NO.4,,Yes,0,
Clark,Clark-4637 - LAS,"State Senate, District 3",,"Friedrich, Jonathan",0,LPN
Clark,Clark-4637 - LAS,"State Senate, District 3",,"Palmerston, Dennis",0,REP
Clark,Clark-4637 - LAS,"State Senate, District 3",,"Segerblom, Tick""""",0,DEM
Clark,Clark-4637 - LAS,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",0,
Clark,Clark-4637 - LAS,"Supreme Court Justice, Seat A",,None Of These Candidates,0,
Clark,Clark-4637 - LAS,"Supreme Court Justice, Seat E",,None Of These Candidates,0,
Clark,Clark-4637 - LAS,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",0,
Clark,Clark-4637 - LAS,U.S. House,1,"Bakari, Kamau A.",0,IAP
Clark,Clark-4637 - LAS,U.S. House,1,"D'Silva, Reuben",0,
Clark,Clark-4637 - LAS,U.S. House,1,"Perry, Mary",0,REP
Clark,Clark-4637 - LAS,U.S. House,1,"Titus, Dina",0,DEM
Clark,Clark-4637 - LAS,U.S. Senate,,"CORTEZ MASTO, CATHERINE",0,DEM
Clark,Clark-4637 - LAS,U.S. Senate,,"GUMINA, TONY",0,
Clark,Clark-4637 - LAS,U.S. Senate,,"HECK, JOE",0,REP
Clark,Clark-4637 - LAS,U.S. Senate,,"JONES, TOM",0,IAP
Clark,Clark-4637 - LAS,U.S. Senate,,None Of These Candidates,0,
Clark,Clark-4637 - LAS,U.S. Senate,,"SAWYER, THOMAS TOM""""",0,
Clark,Clark-4637 - LAS,U.S. Senate,,"WILLIAMS, JARROD M.",0,
Clark,Clark-4638 - LAS,CLARK COUNTY QUESTION NO. 5,,No,0,
Clark,Clark-4638 - LAS,CLARK COUNTY QUESTION NO. 5,,Yes,0,
Clark,Clark-4638 - LAS,County Commissioner Dist. D,,"Osnaya, Anthony",0,
Clark,Clark-4638 - LAS,County Commissioner Dist. D,,"Weekly, Jr., Lawrence",0,
Clark,Clark-4638 - LAS,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,0,
Clark,Clark-4638 - LAS,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",0,
Clark,Clark-4638 - LAS,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",0,
Clark,Clark-4638 - LAS,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,0,
Clark,Clark-4638 - LAS,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,0,
Clark,Clark-4638 - LAS,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",0,
Clark,Clark-4638 - LAS,"District Court Judge, Dist. 8, Dept. 15",,"Gale, Bruce L.",0,
Clark,Clark-4638 - LAS,"District Court Judge, Dist. 8, Dept. 15",,"Hardy, Jr., Joe",0,
Clark,Clark-4638 - LAS,"District Court Judge, Dist. 8, Dept. 20",,"Johnson, Eric",0,
Clark,Clark-4638 - LAS,"District Court Judge, Dist. 8, Dept. 20",,"Levy, Anat Annette""""",0,
Clark,Clark-4638 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Bachman, Shana",0,
Clark,Clark-4638 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Baucum, Suzan",0,
Clark,Clark-4638 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Letizia, Harmony",0,
Clark,Clark-4638 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Marshall, Janiece",0,
Clark,Clark-4638 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Kern, Rebecca",0,
Clark,Clark-4638 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Yeager, Bita",0,
Clark,Clark-4638 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Bennett, Karen",0,
Clark,Clark-4638 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Ginn, Vincent Vinny""""",0,
Clark,Clark-4638 - LAS,President,,"CASTLE, DARRELL",0,IAP
Clark,Clark-4638 - LAS,President,,"CLINTON, HILLARY",0,DEM
Clark,Clark-4638 - LAS,President,,"DE LA FUENTE, ROQUE ROCKY""""",0,NPP
Clark,Clark-4638 - LAS,President,,"JOHNSON, GARY",0,LPN
Clark,Clark-4638 - LAS,President,,None Of These Candidates,0,
Clark,Clark-4638 - LAS,President,,"TRUMP, DONALD J.",0,REP
Clark,Clark-4638 - LAS,"State Assembly, District 6",,"Maffatt, Carlo",0,REP
Clark,Clark-4638 - LAS,"State Assembly, District 6",,"McCurdy, II, William",0,DEM
Clark,Clark-4638 - LAS,"State Board of Education, Dist. 1",,"Blakely, Robert",0,
Clark,Clark-4638 - LAS,"State Board of Education, Dist. 1",,"Hughes, Tim",0,
Clark,Clark-4638 - LAS,STATE QUESTION NO.1,,No,0,
Clark,Clark-4638 - LAS,STATE QUESTION NO.1,,Yes,0,
Clark,Clark-4638 - LAS,STATE QUESTION NO.2,,No,0,
Clark,Clark-4638 - LAS,STATE QUESTION NO.2,,Yes,0,
Clark,Clark-4638 - LAS,STATE QUESTION NO.3,,No,0,
Clark,Clark-4638 - LAS,STATE QUESTION NO.3,,Yes,0,
Clark,Clark-4638 - LAS,STATE QUESTION NO.4,,No,0,
Clark,Clark-4638 - LAS,STATE QUESTION NO.4,,Yes,0,
Clark,Clark-4638 - LAS,"State Senate, District 4",,"Atkinson, Kelvin",0,DEM
Clark,Clark-4638 - LAS,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",0,
Clark,Clark-4638 - LAS,"Supreme Court Justice, Seat A",,None Of These Candidates,0,
Clark,Clark-4638 - LAS,"Supreme Court Justice, Seat E",,None Of These Candidates,0,
Clark,Clark-4638 - LAS,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",0,
Clark,Clark-4638 - LAS,U.S. House,1,"Bakari, Kamau A.",0,IAP
Clark,Clark-4638 - LAS,U.S. House,1,"D'Silva, Reuben",0,
Clark,Clark-4638 - LAS,U.S. House,1,"Perry, Mary",0,REP
Clark,Clark-4638 - LAS,U.S. House,1,"Titus, Dina",0,DEM
Clark,Clark-4638 - LAS,U.S. Senate,,"CORTEZ MASTO, CATHERINE",0,DEM
Clark,Clark-4638 - LAS,U.S. Senate,,"GUMINA, TONY",0,
Clark,Clark-4638 - LAS,U.S. Senate,,"HECK, JOE",0,REP
Clark,Clark-4638 - LAS,U.S. Senate,,"JONES, TOM",0,IAP
Clark,Clark-4638 - LAS,U.S. Senate,,None Of These Candidates,0,
Clark,Clark-4638 - LAS,U.S. Senate,,"SAWYER, THOMAS TOM""""",0,
Clark,Clark-4638 - LAS,U.S. Senate,,"WILLIAMS, JARROD M.",0,
Clark,Clark-4641 - COUNTY,CLARK COUNTY QUESTION NO. 5,,No,74,
Clark,Clark-4641 - COUNTY,CLARK COUNTY QUESTION NO. 5,,Yes,72,
Clark,Clark-4641 - COUNTY,County Commissioner Dist. D,,"Osnaya, Anthony",62,
Clark,Clark-4641 - COUNTY,County Commissioner Dist. D,,"Weekly, Jr., Lawrence",76,
Clark,Clark-4641 - COUNTY,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,42,
Clark,Clark-4641 - COUNTY,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",84,
Clark,Clark-4641 - COUNTY,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",88,
Clark,Clark-4641 - COUNTY,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,39,
Clark,Clark-4641 - COUNTY,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,36,
Clark,Clark-4641 - COUNTY,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",88,
Clark,Clark-4641 - COUNTY,"District Court Judge, Dist. 8, Dept. 15",,"Gale, Bruce L.",40,
Clark,Clark-4641 - COUNTY,"District Court Judge, Dist. 8, Dept. 15",,"Hardy, Jr., Joe",82,
Clark,Clark-4641 - COUNTY,"District Court Judge, Dist. 8, Dept. 20",,"Johnson, Eric",64,
Clark,Clark-4641 - COUNTY,"District Court Judge, Dist. 8, Dept. 20",,"Levy, Anat Annette""""",54,
Clark,Clark-4641 - COUNTY,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Bachman, Shana",42,
Clark,Clark-4641 - COUNTY,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Baucum, Suzan",73,
Clark,Clark-4641 - COUNTY,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Letizia, Harmony",51,
Clark,Clark-4641 - COUNTY,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Marshall, Janiece",68,
Clark,Clark-4641 - COUNTY,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Kern, Rebecca",66,
Clark,Clark-4641 - COUNTY,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Yeager, Bita",52,
Clark,Clark-4641 - COUNTY,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Bennett, Karen",72,
Clark,Clark-4641 - COUNTY,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Ginn, Vincent Vinny""""",45,
Clark,Clark-4641 - COUNTY,President,,"CASTLE, DARRELL",0,IAP
Clark,Clark-4641 - COUNTY,President,,"CLINTON, HILLARY",65,DEM
Clark,Clark-4641 - COUNTY,President,,"DE LA FUENTE, ROQUE ROCKY""""",1,NPP
Clark,Clark-4641 - COUNTY,President,,"JOHNSON, GARY",2,LPN
Clark,Clark-4641 - COUNTY,President,,None Of These Candidates,2,
Clark,Clark-4641 - COUNTY,President,,"TRUMP, DONALD J.",77,REP
Clark,Clark-4641 - COUNTY,"State Assembly, District 10",,"Brooks, Chris",66,DEM
Clark,Clark-4641 - COUNTY,"State Assembly, District 10",,"Shelton, Shelly M.",73,REP
Clark,Clark-4641 - COUNTY,"State Board of Education, Dist. 1",,"Blakely, Robert",53,
Clark,Clark-4641 - COUNTY,"State Board of Education, Dist. 1",,"Hughes, Tim",59,
Clark,Clark-4641 - COUNTY,STATE QUESTION NO.1,,No,85,
Clark,Clark-4641 - COUNTY,STATE QUESTION NO.1,,Yes,62,
Clark,Clark-4641 - COUNTY,STATE QUESTION NO.2,,No,62,
Clark,Clark-4641 - COUNTY,STATE QUESTION NO.2,,Yes,85,
Clark,Clark-4641 - COUNTY,STATE QUESTION NO.3,,No,37,
Clark,Clark-4641 - COUNTY,STATE QUESTION NO.3,,Yes,105,
Clark,Clark-4641 - COUNTY,STATE QUESTION NO.4,,No,46,
Clark,Clark-4641 - COUNTY,STATE QUESTION NO.4,,Yes,95,
Clark,Clark-4641 - COUNTY,"State Senate, District 3",,"Friedrich, Jonathan",9,LPN
Clark,Clark-4641 - COUNTY,"State Senate, District 3",,"Palmerston, Dennis",64,REP
Clark,Clark-4641 - COUNTY,"State Senate, District 3",,"Segerblom, Tick""""",68,DEM
Clark,Clark-4641 - COUNTY,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",83,
Clark,Clark-4641 - COUNTY,"Supreme Court Justice, Seat A",,None Of These Candidates,44,
Clark,Clark-4641 - COUNTY,"Supreme Court Justice, Seat E",,None Of These Candidates,43,
Clark,Clark-4641 - COUNTY,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",85,
Clark,Clark-4641 - COUNTY,U.S. House,1,"Bakari, Kamau A.",2,IAP
Clark,Clark-4641 - COUNTY,U.S. House,1,"D'Silva, Reuben",4,
Clark,Clark-4641 - COUNTY,U.S. House,1,"Perry, Mary",63,REP
Clark,Clark-4641 - COUNTY,U.S. House,1,"Titus, Dina",76,DEM
Clark,Clark-4641 - COUNTY,U.S. Senate,,"CORTEZ MASTO, CATHERINE",71,DEM
Clark,Clark-4641 - COUNTY,U.S. Senate,,"GUMINA, TONY",2,
Clark,Clark-4641 - COUNTY,U.S. Senate,,"HECK, JOE",69,REP
Clark,Clark-4641 - COUNTY,U.S. Senate,,"JONES, TOM",2,IAP
Clark,Clark-4641 - COUNTY,U.S. Senate,,None Of These Candidates,1,
Clark,Clark-4641 - COUNTY,U.S. Senate,,"SAWYER, THOMAS TOM""""",2,
Clark,Clark-4641 - COUNTY,U.S. Senate,,"WILLIAMS, JARROD M.",0,
Clark,Clark-4642 - LAS,CLARK COUNTY QUESTION NO. 5,,No,186,
Clark,Clark-4642 - LAS,CLARK COUNTY QUESTION NO. 5,,Yes,278,
Clark,Clark-4642 - LAS,County Commissioner Dist. D,,"Osnaya, Anthony",83,
Clark,Clark-4642 - LAS,County Commissioner Dist. D,,"Weekly, Jr., Lawrence",345,
Clark,Clark-4642 - LAS,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,167,
Clark,Clark-4642 - LAS,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",224,
Clark,Clark-4642 - LAS,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",234,
Clark,Clark-4642 - LAS,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,172,
Clark,Clark-4642 - LAS,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,155,
Clark,Clark-4642 - LAS,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",235,
Clark,Clark-4642 - LAS,"District Court Judge, Dist. 8, Dept. 15",,"Gale, Bruce L.",185,
Clark,Clark-4642 - LAS,"District Court Judge, Dist. 8, Dept. 15",,"Hardy, Jr., Joe",182,
Clark,Clark-4642 - LAS,"District Court Judge, Dist. 8, Dept. 20",,"Johnson, Eric",193,
Clark,Clark-4642 - LAS,"District Court Judge, Dist. 8, Dept. 20",,"Levy, Anat Annette""""",172,
Clark,Clark-4642 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Bachman, Shana",178,
Clark,Clark-4642 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Baucum, Suzan",204,
Clark,Clark-4642 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Letizia, Harmony",234,
Clark,Clark-4642 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Marshall, Janiece",131,
Clark,Clark-4642 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Kern, Rebecca",244,
Clark,Clark-4642 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Yeager, Bita",126,
Clark,Clark-4642 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Bennett, Karen",265,
Clark,Clark-4642 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Ginn, Vincent Vinny""""",119,
Clark,Clark-4642 - LAS,President,,"CASTLE, DARRELL",1,IAP
Clark,Clark-4642 - LAS,President,,"CLINTON, HILLARY",378,DEM
Clark,Clark-4642 - LAS,President,,"DE LA FUENTE, ROQUE ROCKY""""",2,NPP
Clark,Clark-4642 - LAS,President,,"JOHNSON, GARY",6,LPN
Clark,Clark-4642 - LAS,President,,None Of These Candidates,9,
Clark,Clark-4642 - LAS,President,,"TRUMP, DONALD J.",92,REP
Clark,Clark-4642 - LAS,"State Assembly, District 6",,"Maffatt, Carlo",80,REP
Clark,Clark-4642 - LAS,"State Assembly, District 6",,"McCurdy, II, William",351,DEM
Clark,Clark-4642 - LAS,"State Board of Education, Dist. 1",,"Blakely, Robert",204,
Clark,Clark-4642 - LAS,"State Board of Education, Dist. 1",,"Hughes, Tim",162,
Clark,Clark-4642 - LAS,STATE QUESTION NO.1,,No,161,
Clark,Clark-4642 - LAS,STATE QUESTION NO.1,,Yes,315,
Clark,Clark-4642 - LAS,STATE QUESTION NO.2,,No,177,
Clark,Clark-4642 - LAS,STATE QUESTION NO.2,,Yes,297,
Clark,Clark-4642 - LAS,STATE QUESTION NO.3,,No,121,
Clark,Clark-4642 - LAS,STATE QUESTION NO.3,,Yes,335,
Clark,Clark-4642 - LAS,STATE QUESTION NO.4,,No,124,
Clark,Clark-4642 - LAS,STATE QUESTION NO.4,,Yes,328,
Clark,Clark-4642 - LAS,"State Senate, District 4",,"Atkinson, Kelvin",371,DEM
Clark,Clark-4642 - LAS,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",225,
Clark,Clark-4642 - LAS,"Supreme Court Justice, Seat A",,None Of These Candidates,167,
Clark,Clark-4642 - LAS,"Supreme Court Justice, Seat E",,None Of These Candidates,174,
Clark,Clark-4642 - LAS,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",230,
Clark,Clark-4642 - LAS,U.S. House,1,"Bakari, Kamau A.",11,IAP
Clark,Clark-4642 - LAS,U.S. House,1,"D'Silva, Reuben",48,
Clark,Clark-4642 - LAS,U.S. House,1,"Perry, Mary",73,REP
Clark,Clark-4642 - LAS,U.S. House,1,"Titus, Dina",322,DEM
Clark,Clark-4642 - LAS,U.S. Senate,,"CORTEZ MASTO, CATHERINE",350,DEM
Clark,Clark-4642 - LAS,U.S. Senate,,"GUMINA, TONY",5,
Clark,Clark-4642 - LAS,U.S. Senate,,"HECK, JOE",81,REP
Clark,Clark-4642 - LAS,U.S. Senate,,"JONES, TOM",1,IAP
Clark,Clark-4642 - LAS,U.S. Senate,,None Of These Candidates,18,
Clark,Clark-4642 - LAS,U.S. Senate,,"SAWYER, THOMAS TOM""""",10,
Clark,Clark-4642 - LAS,U.S. Senate,,"WILLIAMS, JARROD M.",5,
Clark,Clark-4643 - LAS,CLARK COUNTY QUESTION NO. 5,,No,168,
Clark,Clark-4643 - LAS,CLARK COUNTY QUESTION NO. 5,,Yes,204,
Clark,Clark-4643 - LAS,County Commissioner Dist. D,,"Osnaya, Anthony",76,
Clark,Clark-4643 - LAS,County Commissioner Dist. D,,"Weekly, Jr., Lawrence",284,
Clark,Clark-4643 - LAS,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,119,
Clark,Clark-4643 - LAS,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",211,
Clark,Clark-4643 - LAS,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",220,
Clark,Clark-4643 - LAS,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,113,
Clark,Clark-4643 - LAS,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,103,
Clark,Clark-4643 - LAS,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",227,
Clark,Clark-4643 - LAS,"District Court Judge, Dist. 8, Dept. 15",,"Gale, Bruce L.",136,
Clark,Clark-4643 - LAS,"District Court Judge, Dist. 8, Dept. 15",,"Hardy, Jr., Joe",172,
Clark,Clark-4643 - LAS,"District Court Judge, Dist. 8, Dept. 20",,"Johnson, Eric",148,
Clark,Clark-4643 - LAS,"District Court Judge, Dist. 8, Dept. 20",,"Levy, Anat Annette""""",156,
Clark,Clark-4643 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Bachman, Shana",147,
Clark,Clark-4643 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Baucum, Suzan",160,
Clark,Clark-4643 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Letizia, Harmony",175,
Clark,Clark-4643 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Marshall, Janiece",134,
Clark,Clark-4643 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Kern, Rebecca",198,
Clark,Clark-4643 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Yeager, Bita",105,
Clark,Clark-4643 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Bennett, Karen",218,
Clark,Clark-4643 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Ginn, Vincent Vinny""""",96,
Clark,Clark-4643 - LAS,President,,"CASTLE, DARRELL",0,IAP
Clark,Clark-4643 - LAS,President,,"CLINTON, HILLARY",276,DEM
Clark,Clark-4643 - LAS,President,,"DE LA FUENTE, ROQUE ROCKY""""",3,NPP
Clark,Clark-4643 - LAS,President,,"JOHNSON, GARY",10,LPN
